"text"|"favorited"|"favoriteCount"|"replyToSN"|"created"|"truncated"|"replyToSID"|"id"|"replyToUID"|"statusSource"|"screenName"|"retweetCount"|"isRetweet"|"retweeted"|"longitude"|"latitude"|"location"|"language"|"profileImageURL"
"RT @yeidckol: #UniversitariosConAMLO \"ser joven y no ser revolucionario es una contradicción hasta biológica\" la insurrección popular pacíf…"|FALSE|0|NA|2018-04-19 20:10:49|FALSE|NA|"987060974891995137"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"ElsaZarza"|586|TRUE|FALSE|NA|NA|""|"es"|"http://pbs.twimg.com/profile_images/378800000416070816/07757b501144c4b59599b172472933cf_normal.jpeg"
"@lopezdoriga dicen no usa chofer @lopezobrador_ . Y NICO?!!!!!!"|FALSE|0|"lopezdoriga"|2018-04-19 20:10:49|FALSE|NA|"987060973822496769"|"236636515"|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"Paogarciasela"|0|FALSE|FALSE|NA|NA|"Cuernavaca, Morelos"|"es"|"http://pbs.twimg.com/profile_images/979616577292197888/YypxMlEa_normal.jpg"
"RT @temotizox: Así el evento de Anaya en Cibeles, ya con el candidato presente. Muy fufurufo, pero le falta un resto de barrio. @RicardoAn…"|FALSE|0|NA|2018-04-19 20:10:45|FALSE|NA|"987060958974496768"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"AlEx120113"|15|TRUE|FALSE|NA|NA|"Manzanillo, Colima."|"es"|"http://pbs.twimg.com/profile_images/923894105725460481/VLgjYZqa_normal.jpg"
"RT @AdrixRasklniko1: Mi hijo también creé en ti @lopezobrador_  y sabemos que lo harás bien <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> @tatclouthier @yeidckol #UniversitariosConAM…"|FALSE|0|NA|2018-04-19 20:10:44|FALSE|NA|"987060953836646401"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"jorgegarmat25"|289|TRUE|FALSE|NA|NA|""|"es"|"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"otra de @lopezobrador_ https://t.co/WQWq6wZ2CE y donde quedo lo que predica, sera que se le olvida,… https://t.co/YriImVRaMK"|FALSE|0|NA|2018-04-19 20:10:43|TRUE|NA|"987060949986217984"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"siriocom"|0|FALSE|FALSE|NA|NA|""|"es"|"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"RT @tatclouthier: La Paz y la tranquilidad son fruto de la justicia; x ello nunca mas la espalda a lo jóvenes; y vamos a conseguir La Paz c…"|FALSE|0|NA|2018-04-19 20:10:43|FALSE|NA|"987060949826899968"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"Yeimy_Zulen"|512|TRUE|FALSE|NA|NA|"Oaxaca, México"|"es"|"http://pbs.twimg.com/profile_images/986091122593353728/DT-ynAWM_normal.jpg"
"RT @yeidckol: #UniversitariosConAMLO \"ser joven y no ser revolucionario es una contradicción hasta biológica\" la insurrección popular pacíf…"|FALSE|0|NA|2018-04-19 20:10:43|FALSE|NA|"987060946718871552"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"EspinosaLemus"|586|TRUE|FALSE|NA|NA|"México"|"es"|"http://pbs.twimg.com/profile_images/888897224448516096/DsAwADZI_normal.jpg"
"@battosai_uchiha @Leonard85592447 @SohoLuci @emmanuel_99 @VerificadoMX @lopezobrador_ Así es, pero esa desinformaci… https://t.co/qyiSm5fQkv"|FALSE|0|"battosai_uchiha"|2018-04-19 20:10:42|TRUE|"987057531079061506"|"987060945787785219"|"126850172"|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"sarasan070"|0|FALSE|FALSE|NA|NA|""|"es"|"http://pbs.twimg.com/profile_images/843312293618184192/Vtx3ypQu_normal.jpg"
"RT @Milenio: #Elecciones2018 @lopezobrador_ contrató avioneta con empresa no validada por #INE https://t.co/cCvElnTk5I https://t.co/RNjgbp…"|FALSE|0|NA|2018-04-19 20:10:42|FALSE|NA|"987060943568896001"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"angelesglezc"|42|TRUE|FALSE|NA|NA|""|"es"|"http://pbs.twimg.com/profile_images/982922326470688768/hjQqz1w4_normal.jpg"
"RT @Jan_Herzog: #ReactivenALeoGarciaMx ! Eres un bastardo censurador @lopezobrador_ ! Si así es ahorita ? Se imaginan? Uffff #FelizJueves!…"|FALSE|0|NA|2018-04-19 20:10:41|FALSE|NA|"987060941035622400"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"Beaglesyeah"|1|TRUE|FALSE|NA|NA|""|"es"|"http://pbs.twimg.com/profile_images/476846304698855425/kFt0wveY_normal.jpeg"
"#Voto2018 <ed><U+00A0><U+00BD><ed><U+00B7><U+00B3><U+FE0F> #Guamuchil, #Sinaloa, la tierra del Idolo de #México, Pedro Infante, se rinde ante el tabasqueño… https://t.co/cG1MFP5DOK"|FALSE|0|NA|2018-04-19 20:10:41|TRUE|NA|"987060939274014720"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"TabascoHOY"|0|FALSE|FALSE|NA|NA|"Tabasco, México"|"es"|"http://pbs.twimg.com/profile_images/942785847983620096/2P17LQvF_normal.jpg"
"@Fafhoo @Lizlawy jajajaja y dice @epn no lo mando a hablar del aeropuerto es una porquería esta política… https://t.co/lmQyXmA3i3"|FALSE|0|"Fafhoo"|2018-04-19 20:10:41|TRUE|"986807431920406528"|"987060938116337665"|"139850058"|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"r_ojedaa"|0|FALSE|FALSE|NA|NA|""|"es"|"http://pbs.twimg.com/profile_images/924024805610831872/REtqdPaE_normal.jpg"
